name,birth,position,height,weight,start_year,end_year,career,games,goals,assist,birth_month
문영서,1956/12/20,DF,170,67,1984,1985,2,27,0,2,12
박상록,1957/03/18,MF,173,65,1984,1984,1,2,0,0,3
방윤출,1957/05/15,FW,170,63,1984,1984,1,17,0,2,5
이기형,1957/06/11,GK,181,72,1984,1984,1,4,0,0,6
김한봉,1957/12/15,DF,179,75,1984,1986,3,47,7,10,12
정해성,1958/03/04,DF,175,68,1984,1989,6,118,2,4,3
김태환,1958/03/20,FW,168,64,1984,1987,3,40,0,2,3
김세일,1958/07/25,DF,178,69,1984,1984,1,19,2,1,7
김원근,1958/07/28,MF,174,65,1984,1984,1,5,0,0,7
백현영,1958/07/29,FW,176,72,1984,1986,3,52,8,1,7
이상철,1958/08/04,MF,174,68,1984,1987,4,83,22,6,8
김평석,1958/09/22,DF,178,70,1984,1990,7,127,0,9,9
박대제,1958/10/14,MF,173,65,1984,1985,2,18,1,0,10
이춘섭,1958/11/17,GK,180,70,1984,1984,1,24,0,0,11
박항서,1959/01/04,NA,167,63,1984,1988,5,115,20,8,1
변일우,1959/03/01,MF,NA,NA,1984,1985,2,37,5,2,3
설정현,1959/03/06,DF,177,70,1984,1986,3,50,2,0,3
왕선재,1959/03/16,FW,170,60,1984,1989,7,74,8,16,3
김창효,1959/05/07,DF,180,78,1984,1987,4,47,1,0,5
조성규,1959/05/22,FW,175,72,1984,1986,3,48,6,11,5
최홍식,1959/09/06,MF,176,62,1984,1985,2,25,1,2,9
김학철,1959/10/19,MF,175,70,1984,1985,2,23,1,2,10
박정일,1959/11/19,FW,182,72,1984,1984,1,18,4,2,11
이용수,1959/12/27,MF,171,66,1984,1985,2,35,8,2,12
최덕주,1960/01/03,FW,177,71,1984,1985,2,27,7,2,1
김문경,1960/01/06,DF,179,71,1984,1989,5,85,0,4,1
추종호,1960/01/22,MF,169,63,1984,1987,4,57,6,3,1
박주원,1960/01/28,FW,170,57,1984,1984,1,5,0,0,1
정용환,1960/02/10,DF,177,72,1984,1994,11,168,9,4,2
이석종,1960/02/20,DF,177,70,1984,1984,1,6,0,0,2
김학범,1960/03/01,NA,180,71,1984,1984,1,13,1,0,3
이용,1960/03/16,FW,172,63,1984,1984,1,9,3,0,3
김영철,1960/04/28,MF,174,67,1984,1984,1,21,3,3,4
정수남,1960/07/05,MF,175,68,1984,1985,2,26,1,1,7
김태민,1960/08/10,FW,168,64,1984,1985,2,5,0,0,8
박승기,1960/09/03,DF,173,64,1984,1984,1,26,1,1,9
노인호,1960/09/10,FW,183,82,1984,1987,4,28,2,6,9
서석범,1960/09/12,GK,180,74,1984,1984,1,6,0,0,9
전운선,1960/12/23,GK,NA,NA,1984,1984,1,15,0,0,12
홍석민,1961/01/06,FW,170,67,1984,1985,2,27,8,2,1
안원응,1961/01/14,DF,172,66,1984,1984,1,6,0,0,1
박경훈,1961/01/19,DF,172,67,1984,1992,9,134,4,8,1
강호광,1961/01/22,MF,176,68,1984,1984,1,6,0,0,1
이상용,1961/01/25,FW,175,68,1984,1987,3,23,2,0,1
장형곤,1961/01/29,FW,176,75,1984,1984,1,1,0,0,1
정후균,1961/02/21,FW,170,64,1984,1984,1,5,0,0,2
백종철,1961/03/09,FW,180,73,1984,1991,8,143,36,11,3
송영록,1961/03/13,MF,177,70,1984,1984,1,18,0,0,3
윤덕여,1961/03/25,DF,178,69,1984,1992,9,129,3,1,3
소광호,1961/03/27,FW,178,75,1984,1985,2,33,0,5,3
정종수,1961/03/27,NA,174,67,1984,1995,12,225,3,11,3
